source_id,designation,ra,dec,Glong,Glat,ecl_lon,ecl_lat,parallax,pmra,pmdec,ra_error,dec_error,parallax_error,pmra_error,pmdec_error,ruwe,pm,random_index,solution_id,dist bw hpm bgs,ra bgs,era bgs,dec bgs,edec bgs,source_id bgs,plx bgs,eplx bgs,pm bgs,pmra bgs,epmra bgs,pmdec bgs,epmdec bgs,RUWE bgs,TIMESTAMP
5844486566066290048,Gaia EDR3 5844486566066290048,202.79135501668375,-68.74728149818742,306.5371873713344,-6.154073664290618,236.2192136095158,-53.05664134498696,12.339541649100168,-371.5321109064112,-3.932298670542502,0.06560624,0.06982836,0.08533624,0.08125411,0.10675112,1.0233186,371.55292,1255728977,1636042515805110273,0.0004887507966218368,202.7900218751953,0.19763361,-68.7472083166086,0.22225933,5844486566066290304,0.4790195979978107,0.26815802,5.5242085,-5.522819141676757,0.22916047,-0.1238802327464735,0.36739096,1.0116783,0.0036999999999999976
5411468169440274560,Gaia EDR3 5411468169440274560,146.50641476717672,-46.330107465106366,272.8067741296218,5.413085389997509,173.8663667689638,-54.60862962424312,26.91830269983692,-174.95701569972823,-34.955578519140325,0.04132551,0.050093703,0.057399396,0.05327487,0.061747078,1.1049646,178.41483,1678309730,1636042515805110273,0.000326864913631377,146.5059492501886,0.40466657,-46.33016676705875,1.2471076,5411468169435427328,0.988463734059877,0.6700526,5.528264,-4.7239449100090685,0.5440323,2.871592856365804,1.7011703,0.9813042,0.0026999999999999993
5507195255220502016,Gaia EDR3 5507195255220502016,110.39656107545652,-47.52670469237572,259.0817715492353,-14.921966014848348,129.32300404050912,-68.19984502615773,3.953267814837004,-30.85137415662728,160.21656103549452,0.08455289,0.08151607,0.089522086,0.112090975,0.10887288,0.9900512,163.1599,1365300704,1636042515805110273,0.0011984880687333,110.3963894683515,0.155864,-47.52551181943869,0.14652137,5507195255220503040,0.5561952403733065,0.16834044,5.554397,-1.1373442708242738,0.21087937,5.436706170199068,0.1939075,0.998874,0.007420000000000008
5866444431761744768,Gaia EDR3 5866444431761744768,210.7302510772926,-61.247106865161015,311.4209195668602,0.4409267644279472,234.24454368050212,-44.95754957013124,2.41882283144802,-119.73014282208796,21.457560586105327,0.08770915,0.13067974,0.17556484,0.13202338,0.1730782,1.0060022,121.63772,1495086624,1636042515805110273,0.00021752808102675216,210.72985718044467,0.05998566,-61.2470000163902,0.08797878,5866444431747247488,0.1689213595295143,0.13217928,5.553946,-4.864682523260711,0.082857616,-2.679772189943521,0.10522907,1.0738912,0.003499999999999998
4233064692573778688,Gaia EDR3 4233064692573778688,309.6559559149222,3.78860406404536,49.437748934121394,-21.729224219403356,313.1818813041044,21.481351656552665,14.951830238779976,-29.205960467867666,-118.61012916754233,0.023841856,0.015471989,0.029783249,0.031936146,0.023207407,1.172749,122.152985,187166903,1636042515805110273,0.0008771778045688799,309.65576266046105,0.31930465,3.787748344094545,0.23257755,4233064688278587904,0.2666981069826097,0.387229,5.5594707,-1.573687844796213,0.4078315,-5.332093410416378,0.3316469,0.9891306,0.007430000000000007
5581673394042965888,Gaia EDR3 5581673394042965888,98.25975440873428,-35.25615819793044,243.66222840378197,-18.753036328386283,102.90951986921532,-58.32585219378134,12.973388532333235,83.68825473425916,-134.52990032854882,0.032520246,0.032562733,0.039173156,0.039304327,0.03880298,1.0866472,158.43616,561963630,1636042515805110273,0.0013146831068395,98.26056221033592,1.7935027,-35.25729542281677,1.2629753,5581673394042966144,6.108721325132372,2.0695815,5.5553637,-0.8876582482236534,1.3074572,5.483988554661687,1.2453195,1.0310773,0.008379999999999999
1936277020614567552,Gaia EDR3 1936277020614567552,345.16370981183167,46.13052908681146,103.66376121528803,-12.555432766320685,10.483033346161964,47.0558571305026,7.706976439917851,122.8447000785068,22.73767078974613,0.01970712,0.020193763,0.03028363,0.025290145,0.02583707,1.0602654,124.93127,431443396,1636042515805110273,0.000601130756502036,345.1645334163514,0.23122826,46.130717708001534,0.25928453,1936277020609725312,1.908446893672186,0.34170678,5.533919,5.374128937095057,0.32178745,-1.3202253614764163,0.36543813,1.043664,0.007060000000000006
4537800284452596864,Gaia EDR3 4537800284452596864,281.1734954183264,26.021411756749064,55.77539858219611,12.919032543040007,285.3504999445668,48.8669990084106,6.189557510335176,-58.57797833542024,-121.63626468607252,0.041255195,0.055334326,0.06871152,0.053508945,0.064562805,1.0608187,135.00652,1464493379,1636042515805110273,0.000914218298802656,281.1730496959564,0.735812,26.020589952617307,0.9242655,4537800284445625344,0.0154081325402302,1.2536919,5.5481343,0.2731607201271061,1.1141396,-5.541405698151984,1.1989516,1.2175654,0.007060000000000006
5936092961462588160,Gaia EDR3 5936092961462588160,253.03731544756224,-52.61804854254234,334.87314924736046,-5.371543792861842,258.2135847732726,-29.870584753652984,6.206200771506569,-53.10547250303316,-158.33612625999547,0.30119473,0.2248563,0.3926564,0.48098332,0.35773337,0.9330106,167.00455,1607825181,1636042515805110273,0.0009572594925748724,253.0369443051175,0.0785096,-52.6189789043948,0.058727976,5936092961462583040,0.416143104418435,0.10237775,5.5829887,-3.598130629748531,0.11465105,-4.268866357194393,0.08665848,1.0511912,0.005990000000000004
5991333765679087232,Gaia EDR3 5991333765679087232,240.5031159570464,-44.344410911573625,335.05277098940866,6.321098666270733,247.4767395088116,-23.18454651300932,7.417009390790629,-42.74659229959412,-96.54117033171732,0.067408144,0.044216834,0.08607175,0.087904036,0.06451866,0.97879535,105.58157,762383060,1636042515805110273,0.000972026149589378,240.50271440101244,0.7809628,-44.34533954910105,0.5085467,5991333761351478144,-0.4224361842499477,0.98569584,5.5380363,-1.0272639303833833,1.0249834,-5.441927315200395,0.7679994,2.8090546,0.010199999999999994
4114500711659783168,Gaia EDR3 4114500711659783168,259.0501390375506,-22.843308944827097,1.5076114607168565,8.863799965724768,259.9182514801752,0.2135693641084301,22.096608572871887,23.539619845665577,-229.03831829486188,0.073760696,0.045738887,0.07916433,0.09963696,0.06397316,1.00156,230.2448,277573850,1636042515805110273,0.0013068038487773,259.0502716282896,0.32940993,-22.844610023473543,0.21613015,4114500707327933696,0.6846579366144018,0.34611127,5.5453916,1.057820737551276,0.452753,-5.443563643423708,0.29719824,1.0071898,0.005800000000000002
