source_id,designation,ra,dec,Glong,Glat,ecl_lon,ecl_lat,parallax,pmra,pmdec,ra_error,dec_error,parallax_error,pmra_error,pmdec_error,ruwe,pm,random_index,solution_id,dist_bw_hpm_bgs,ra_bgs,era_bgs,dec_bgs,edec_bgs,source_id bgs,plx_bgs,eplx_bgs,pm_bgs,pmra_bgs,epmra_bgs,pmdec_bgs,epmdec_bgs,RUWE_bgs,g_mag_HPMS,bp_mag_HPMS,rp_mag_HPMS,bp_rp_HPMS,bp_g_HPMS,g_rp_HPMS,g_mag_bgs,bp_mag_bgs,rp_mag_bgs,bp_rp_bgs,TIMESTAMP,M_G,DIST,SPEEED,TIME,FAC,YEARS AFTER,DATE,year
4.30E+18,Gaia EDR3 4304388774942725376,296.4895112,11.26095945,49.25769744,-6.698562028,301.0124878,31.89246535,2.781329737,13.56320997,-110.1247881,0.043159537,0.031426057,0.050632343,0.052951872,0.04091972,1.0496701,110.95688,1584042788,1.64E+18,0.000958,296.4896994,0.041840985,11.26001946,0.038445856,4.30E+18,0.336216508,0.057302654,2.0820222,1.493032524,0.055195265,-1.451092926,0.04872339,1.0000193,16.032694,17.011332,14.970131,2.0412006,0.9786377,1.062563,16.587996,17.106157,15.840774,1.2653837,0.00863,8.253956396,0.000958,110.95688,31.08234478,3601.662199,31.068,17-01-2047,2047
1.77E+18,Gaia EDR3 1772458996478583424,325.8021751,15.34111254,70.09023729,-27.65051979,333.8244625,27.27995737,6.171931281,56.80756338,-88.92381841,0.08181908,0.10186811,0.094248936,0.111192904,0.13059762,1.0720233,105.520355,1784187536,1.64E+18,0.000758,325.8026379,0.08869647,15.34050031,0.10651693,1.77E+18,1.056102269,0.10222441,13.472389,-11.23530341,0.12004241,-7.43459599,0.13564005,2.8938432,17.456284,18.805819,16.176508,2.6293106,1.349535,1.2797756,15.798994,16.327719,15.068737,1.2589817,0.00702,11.40838941,0.000758,105.520355,25.86041338,3683.819569,25.272,03-04-2041,2041
1.93E+17,Gaia EDR3 193255871713201024,88.61311387,43.00482147,168.7401191,8.675644702,88.92364346,19.57072229,13.96570115,53.819207,-135.2324861,0.024873381,0.02105703,0.027931828,0.029863417,0.020947214,1.1814386,145.54839,1420750107,1.64E+18,0.000527,88.61335427,0.13789113,43.00432478,0.11727136,1.93E+17,0.357568315,0.15520167,2.121514,0.496735214,0.19260395,-2.062541275,0.13357648,1.0286155,14.870718,16.310007,13.683543,2.626464,1.4392891,1.1871748,18.42489,9000000000,9000000000,9000000000,0.00386,10.59603172,0.000527,145.54839,13.03484017,3376.901597,13.896,20-11-2029,2029
5.96E+18,Gaia EDR3 5955923817587163392,265.2481449,-42.70879439,347.7419561,-6.396965598,266.3013652,-19.33050328,2.054845058,-62.0579619,-93.14029181,0.25063497,0.18927401,0.23588456,0.29020062,0.15909912,1.0022863,111.920975,884757248,1.64E+18,0.000368,265.2479111,0.30942008,-42.70911928,0.19183783,5.96E+18,0.117613133,0.30648386,2.1261003,1.417412349,0.4056789,-1.584690773,0.16904055,1.1249039,19.054462,19.347448,17.339663,2.0077858,0.29298592,1.7147999,19.086168,9000000000,9000000000,9000000000,0.0036,10.6183574,0.000368,111.920975,11.83692333,3288.034258,12.96,13-12-2028,2028
3.04E+18,Gaia EDR3 3036696604474767616,117.4711743,-12.45362098,230.7801427,6.944007299,122.4254884,-32.85229269,4.518739179,-108.3367202,10.8287216,0.015413298,0.014228242,0.021748338,0.02014003,0.017735265,0.9621581,108.876564,1055425999,1.64E+18,0.000976,117.4701896,0.041233867,-12.45345069,0.038333803,3.04E+18,0.337872138,0.058916315,2.1318386,-0.481650808,0.053106163,2.076715728,0.04741244,1.0322049,14.522927,15.328369,13.6433,1.6850691,0.80544186,0.8796272,16.64978,16.98286,16.082468,0.90039253,0.0092,7.798013373,0.000976,108.876564,32.27140783,3507.761721,33.12,04-02-2049,2049
4.54E+17,Gaia EDR3 453763058608615296,39.25151902,53.2755607,138.4452545,-6.38654468,55.18838632,35.79466916,10.60777888,127.5427606,-91.50801547,0.04132059,0.064003974,0.07891415,0.055210155,0.082589306,1.1401846,156.97412,711252414,1.64E+18,0.000601,39.2522188,0.41353822,53.27512869,0.560345,4.54E+17,1.488880234,0.6952461,2.1382048,-1.895605522,0.5687386,0.989241668,0.7618184,0.979573,16.91215,18.651644,15.608339,3.0433044,1.7394943,1.3038101,20.400747,20.660847,18.959686,1.7011604,0.00513,12.04027229,0.000601,156.97412,13.78316375,2686.776559,18.468,15-06-2034,2034
6.90E+18,Gaia EDR3 6898337292696723840,321.4835487,-6.640856339,45.97665667,-37.19593876,321.7118081,8.044757887,1.043385247,40.07169768,-92.81355315,0.07377729,0.06681785,0.08603918,0.097379625,0.072310746,1.7642611,101.09449,129939846,1.64E+18,0.000381,321.483773,1.0388764,-6.641166029,0.98305494,6.90E+18,3.47307594,1.2453405,18.853474,-17.45448128,1.264978,-7.127028544,1.2970417,0.94545805,16.305534,16.803919,15.580142,1.2237768,0.49838448,0.72539234,20.58614,9000000000,9000000000,9000000000,0.00373,6.397757459,0.000381,101.09449,13.56750501,3637.400808,13.428,02-06-2029,2029
5.88E+18,Gaia EDR3 5877811423480824832,223.5216266,-61.12149655,317.1966161,-1.693389145,241.8120479,-42.15189305,2.097511513,-109.4540582,-94.65042092,0.23204374,0.29150245,0.4102742,0.40431827,0.4007614,1.0893207,144.70277,522775884,1.64E+18,0.000977,223.5205208,0.48090404,-61.12231492,0.646051,5.88E+18,-3.784589565,0.88061386,2.1640189,-1.724044135,0.77621704,-1.307918008,0.898768,1.1061758,19.864285,20.875755,18.99627,1.8794861,1.0114708,0.8680153,20.589361,21.08209,18.927315,2.1547756,0.0093,11.47280677,0.000977,144.70277,24.30637644,2613.588865,33.48,16-06-2049,2049
3.45E+18,Gaia EDR3 3451222246311110656,87.9580506,32.75605485,177.4104252,3.109448083,88.25985404,9.329107508,3.301651099,113.9082844,-111.6001578,0.026573682,0.022164198,0.031948615,0.028830508,0.021225031,0.9486347,159.4669,1057156474,1.64E+18,0.001165389,87.95893061,0.30127123,32.75515462,0.23378941,3.45E+18,-0.0540766,0.38043708,2.179392,-0.69685158,0.31579787,-2.064981301,0.21055347,1.0022036,14.880711,15.4389305,14.164121,1.2748098,0.5582199,0.7165899,19.179382,19.766632,18.316456,1.4501762,0.00786,7.474366887,0.001165389,159.4669,26.3089105,3347.189631,28.296,11-04-2044,2044
6.15E+18,Gaia EDR3 6153882781557359872,192.0328819,-36.55917282,302.1912521,26.30782214,206.4351873,-28.67829118,2.411052873,-97.95180591,-98.45931029,0.03457062,0.025064265,0.04233602,0.040443376,0.03204386,0.96817887,138.8841,672432997,1.64E+18,0.001179204,192.0320871,0.023081286,-36.56016426,0.016040096,6.15E+18,0.874728011,0.027994838,15.892666,-15.17314327,0.026536344,-4.727847017,0.020189283,0.9962634,15.966379,16.575712,15.212006,1.3637066,0.60933304,0.75437355,15.0674095,15.44083,14.531265,0.909565,0.0101,7.877412672,0.001179204,138.8841,30.5660216,3026.338772,36.36,02-05-2052,2052
